Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Anthony Bemboom (17266379),Anthony Bemboom,17266379,INF/UTIL,3800,LAA@TEX 04/26/2021 08:05PM ET,LAA,3.2
2B/3B,Luis Rengifo (17266381),Luis Rengifo,17266381,INF/UTIL,3700,LAA@TEX 04/26/2021 08:05PM ET,LAA,1.75
OF,Eli White (17266383),Eli White,17266383,OF/UTIL,3700,LAA@TEX 04/26/2021 08:05PM ET,TEX,3.46
OF,Dexter Fowler (17266408),Dexter Fowler,17266408,OF/UTIL,3700,LAA@TEX 04/26/2021 08:05PM ET,LAA,4.29
OF,Taylor Ward (17266410),Taylor Ward,17266410,OF/UTIL,3700,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
OF,Leody Taveras (17266385),Leody Taveras,17266385,OF/UTIL,3600,LAA@TEX 04/26/2021 08:05PM ET,TEX,2.4
C,Sam Huff (17266412),Sam Huff,17266412,INF/UTIL,3600,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Delino DeShields (17266414),Delino DeShields,17266414,OF/UTIL,3600,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
C,Drew Butera (17266416),Drew Butera,17266416,INF/UTIL,3600,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Jason Martin (17266418),Jason Martin,17266418,OF/UTIL,3600,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Ronnie Dawson (17266420),Ronnie Dawson,17266420,OF/UTIL,3500,SEA@HOU 04/26/2021 08:10PM ET,HOU,3
OF,Braden Bishop (17266426),Braden Bishop,17266426,OF/UTIL,3500,SEA@HOU 04/26/2021 08:10PM ET,SEA,0.71
2B/3B,Franklin Barreto (17266422),Franklin Barreto,17266422,INF/UTIL,3500,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
OF,Jon Jay (17266424),Jon Jay,17266424,OF/UTIL,3500,LAA@TEX 04/26/2021 08:05PM ET,LAA,1.5
1B/C,John Hicks (17266428),John Hicks,17266428,INF/UTIL,3500,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Jake Fraley (17266430),Jake Fraley,17266430,OF/UTIL,3400,SEA@HOU 04/26/2021 08:10PM ET,SEA,6.8
C,Korey Lee (17266434),Korey Lee,17266434,INF/UTIL,3400,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
OF,Zach Daniels (17266436),Zach Daniels,17266436,OF/UTIL,3400,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
2B,Freudis Nova (17266438),Freudis Nova,17266438,INF/UTIL,3400,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
C,David Garcia (17266432),David Garcia,17266432,INF/UTIL,3400,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Julio Rodriguez (17266440),Julio Rodriguez,17266440,OF/UTIL,3300,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
OF,Jake Meyers (17266444),Jake Meyers,17266444,OF/UTIL,3300,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
