Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Ryne Birk,0.3,0.4,0.147,0.289
Jon Singleton,0.321,0.385,0.189,0.27
Drew Ferguson,0.305,0.346,0.113,0.314
Eduardo de Oleo,0.239,0.37,0.169,0.263
Yordan Alvarez,0.304,0.418,0.167,0.312
Trent Woodward,0.281,0.314,0.112,0.291
Rico Noel,0.257,0.279,0.079,0.282
Nick Tanielu,0.279,0.344,0.104,0.289
Randy Cesar,0.267,0.323,0.093,0.318
Alejandro Garcia,0.273,0.328,0.084,0.289
Dexture McCall,0.274,0.34,0.128,0.3
Mike Trout,0.421,0.59,0.3,0.317
Andrelton Simmons,0.319,0.382,0.108,0.291
Ian Kinsler,0.317,0.412,0.151,0.286
Zack Cozart,0.322,0.423,0.166,0.28
Justin Upton,0.323,0.47,0.229,0.302
Kole Calhoun,0.332,0.423,0.166,0.298
Luis Valbuena,0.319,0.425,0.198,0.267
Taylor Ward,0.298,0.327,0.103,0.263
Shohei Ohtani,0.313,0.438,0.186,0.333
Martin Maldonado,0.276,0.335,0.128,0.259
Zach Houchins,0.275,0.372,0.139,0.269
Jose M. Fernandez,0.325,0.376,0.118,0.275
C.J. Cron,0.301,0.441,0.188,0.29
Kaleb Cowart,0.289,0.357,0.13,0.289
Ben Revere,0.318,0.356,0.07,0.31
Curt Casali,0.297,0.337,0.119,0.267
Rene Rivera,0.272,0.366,0.147,0.277
Rey Navarro,0.279,0.335,0.101,0.271
Nick Franklin,0.302,0.375,0.139,0.29
Nolan Fontana,0.295,0.298,0.104,0.277
Carlos Perez,0.269,0.33,0.114,0.247
Cesar Puello,0.312,0.39,0.152,0.303
Brandon Phillips,0.297,0.375,0.108,0.291
Ramon Flores,0.317,0.362,0.126,0.278
Jefry Marte,0.299,0.424,0.188,0.264
Juan Graterol,0.265,0.328,0.08,0.277
Jahmai Jones,0.283,0.348,0.118,0.289
Albert Pujols,0.302,0.4,0.143,0.267
Shane Robinson,0.282,0.293,0.061,0.267
Connor Justus,0.278,0.277,0.084,0.26
Yunel Escobar,0.319,0.353,0.089,0.293
David Fletcher,0.276,0.304,0.067,0.271
Wade Wass,0.273,0.348,0.157,0.295
Cliff Pennington,0.278,0.296,0.085,0.278
Eric Young Jr.,0.279,0.298,0.082,0.266
Rymer Liriano,0.282,0.345,0.124,0.31
Michael Hermosillo,0.3,0.345,0.117,0.298
Sherman Johnson,0.291,0.313,0.106,0.265
Colin Walsh,0.308,0.318,0.118,0.289
Forrestt Allday,0.306,0.258,0.038,0.275
Michael Bourn,0.287,0.307,0.077,0.297
Matt Thaiss,0.303,0.345,0.114,0.282
Dustin Ackley,0.288,0.349,0.121,0.26
Bo Way,0.268,0.272,0.053,0.279
Tim Arakawa,0.279,0.281,0.076,0.289
Brennon Lund,0.288,0.316,0.078,0.3
Matt Chapman,0.298,0.463,0.238,0.28
Khris Davis,0.329,0.523,0.267,0.296
Matt Olson,0.328,0.498,0.26,0.276
Marcus Semien,0.32,0.435,0.184,0.294
Jed Lowrie,0.33,0.385,0.127,0.293
Joey Wendle,0.283,0.392,0.145,0.291
Bruce Maxwell,0.302,0.35,0.116,0.289
Boog Powell,0.331,0.37,0.107,0.307
Ramon Laureano,0.299,0.372,0.143,0.298
Sean Murphy,0.271,0.345,0.123,0.253
Dustin Fowler,0.29,0.444,0.185,0.295
Dustin Garneau,0.288,0.371,0.147,0.266
Matthew Joyce,0.336,0.425,0.191,0.27
Franklin Barreto,0.285,0.384,0.146,0.307
Mark Canha,0.307,0.425,0.184,0.289
Jake Smolinski,0.306,0.399,0.155,0.277
Jorge Mateo,0.268,0.385,0.16,0.303
Nick Martini,0.318,0.339,0.099,0.297
Yairo Munoz,0.275,0.381,0.136,0.284
Josh Phegley,0.281,0.386,0.157,0.256
Chris Carter,0.309,0.446,0.231,0.274
Beau Taylor,0.286,0.315,0.105,0.286
Chad Pinder,0.281,0.406,0.172,0.294
Jermaine Curtis,0.326,0.314,0.085,0.275
Sheldon Neuse,0.286,0.361,0.126,0.313
Max Schrock,0.293,0.349,0.099,0.268
Richie Martin,0.284,0.306,0.085,0.277
Matt McBride,0.279,0.404,0.171,0.257
B.J. Boyd,0.287,0.328,0.083,0.292
Renato Nunez,0.29,0.463,0.224,0.276
Ryan Lavarnway,0.293,0.327,0.107,0.273
Anthony Garcia,0.309,0.384,0.146,0.29
Jaff Decker,0.299,0.347,0.125,0.282
Melvin Mercedes,0.283,0.262,0.052,0.265
Frank Schwindel,0.272,0.406,0.154,0.283
Sandber Pimentel,0.287,0.346,0.132,0.297
Kenny Wilson,0.274,0.293,0.083,0.286
Brett Vertigan,0.275,0.275,0.064,0.286
J.P. Sportman,0.252,0.314,0.101,0.276
Kyle Seager,0.342,0.483,0.212,0.288
Robinson Cano,0.339,0.445,0.162,0.302
Dee Gordon,0.315,0.352,0.069,0.327
Nelson Cruz,0.338,0.485,0.226,0.288
Mike Zunino,0.294,0.447,0.229,0.276
Jean Segura,0.317,0.397,0.124,0.306
Mitch Haniger,0.32,0.444,0.193,0.294
Jarrod Dyson,0.313,0.342,0.092,0.289
Taylor Motter,0.302,0.4,0.156,0.278
Mike Ford,0.339,0.412,0.165,0.277
Daniel Vogelbach,0.333,0.404,0.156,0.297
Carlos Ruiz,0.319,0.307,0.086,0.284
Ben Gamel,0.303,0.384,0.134,0.308
